Index Matrix Swap,Direct Memory Swap,,
0.484952,0.394604,,
0.46174,0.416044,,
0.467614,0.390935,,
0.474839,0.397487,,
0.489848,0.428098,,
0.471129,0.395546,,
0.478162,0.407775,,
0.496399,0.399599,,
0.467492,0.410411,,
0.472637,0.385569,,
0.467572,0.394161,,
0.493658,0.400094,,
0.484755,0.396538,,
0.508853,0.410879,,
0.478445,0.391415,,
0.481452,0.396807,,
0.491536,0.390954,,
0.476063,0.398032,,
0.481749,0.404221,,
0.474771,0.3918,,
0.475999,0.399963,,
0.472531,0.405832,,
0.486796,0.397501,,
0.471486,0.401029,,
0.482635,0.405004,,
0.501352,0.406467,,
0.473896,0.395305,,
0.489616,0.473698,,
0.513383,0.544209,,
0.495181,0.402202,,
0.482367,0.402149,,
0.481203,0.425661,,
0.487048,0.410672,,
0.493173,0.390941,,
0.4794,0.396589,,
0.475698,0.399462,,
0.478937,0.40644,,
0.482078,0.398288,,
0.505235,0.403688,,
0.485328,0.391777,,
0.463755,0.401147,,
0.467801,0.504691,,
0.465448,0.401826,,
0.473943,0.404079,,
0.476817,0.408636,,
0.484645,0.415702,,
0.501533,0.394296,,
0.46987,0.402103,,
0.500007,0.383941,,
0.476171,0.405515,,
0.481326,0.413528,,
0.499007,0.4156,,
0.472614,0.414359,,
0.48467,0.40738,,
0.475821,0.402691,,
0.482802,0.400877,,
0.474109,0.409357,,
0.491834,0.397401,,
0.487353,0.406955,,
0.480257,0.395274,,
0.481236,0.41911,,
0.48481,0.403845,,
0.489366,0.412253,,
0.499586,0.402618,,
0.492083,0.409027,,
0.465834,0.403457,,
0.497737,0.415895,,
0.512796,0.407159,,
0.484834,0.417852,,
0.482318,0.386719,,
0.47489,0.409148,,
0.506054,0.403387,,
0.485266,0.396561,,
0.479295,0.398507,,
0.505234,0.404525,,
0.497912,0.410237,,
0.513221,0.392559,,
0.473167,0.406493,,
0.492469,0.4028,,
0.485305,0.394469,,
0.50112,0.410399,,
0.491586,0.404914,,
0.511172,0.45785,,
0.476282,0.402591,,
0.484324,0.412491,,
0.493505,0.414222,,
0.496361,0.408828,,
0.516281,0.383922,,
0.480875,0.390621,,
0.467741,0.404205,,
0.460673,0.401207,,
0.498693,0.402908,,
0.465309,0.415502,,
0.488053,0.417386,,
0.492737,0.409651,,
0.480387,0.411855,,
0.494091,0.406884,,
0.492769,0.400675,,
0.570377,0.414702,,
0.468777,0.397417,,
0.493684,0.415461,,
0.488525,0.396243,,
0.485824,0.404773,,
0.477546,0.401988,,
0.50182,0.434433,,
0.476691,0.400322,,
0.48219,0.415107,,
0.473911,0.414759,,
0.492671,0.415854,,
0.473369,0.417305,,
0.477468,0.403468,,
0.475282,0.410522,,
0.468021,0.413341,,
0.495243,0.401082,,
0.487599,0.431079,,
0.489063,0.416799,,
0.474371,0.407586,,
0.479253,0.397061,,
0.493973,0.411144,,
0.496706,0.423538,,
0.518409,0.404253,,
0.482131,0.41334,,
0.471773,0.419385,,
0.507244,0.407484,,
0.50661,0.414331,,
0.482847,0.40883,,
0.559787,0.4253,,
0.473485,0.408955,,
0.480091,0.419618,,
0.474629,0.384338,,
0.469741,0.400071,,
0.482875,0.412072,,
0.493866,0.416652,,
0.507362,0.414014,,
0.496287,0.402593,,
0.546351,0.397648,,
0.470593,0.418179,,
0.468918,0.401794,,
0.480233,0.408965,,
0.508787,0.399476,,
0.499958,0.414138,,
0.495759,0.418147,,
0.483865,0.395806,,
0.502246,0.412392,,
0.490161,0.405786,,
0.493033,0.409145,,
0.471512,0.409502,,
0.494548,0.43053,,
0.547132,0.38714,,
0.495745,0.391023,,
0.524205,0.410281,,
0.488489,0.412034,,
0.481935,0.430925,,
0.480067,0.406068,,
0.481181,0.422179,,
0.488952,0.403735,,
0.492145,0.421708,,
0.491873,0.391096,,
0.466307,0.438031,,
0.474191,0.412586,,
0.474905,0.411301,,
0.487517,0.409646,,
0.501616,0.409159,,
0.487897,0.414267,,
0.491173,0.378149,,
0.503946,0.405522,,
0.496041,0.398469,,
0.456524,0.411231,,
0.49919,0.400334,,
0.492988,0.490247,,
0.505666,0.404832,,
0.486008,0.418417,,
0.507488,0.423271,,
0.473485,0.384015,,
0.49041,0.405118,,
0.489446,0.41866,,
0.497176,0.407421,,
0.5039,0.405363,,
0.474875,0.398021,,
0.455403,0.416951,,
0.469788,0.423972,,
0.484844,0.421203,,
0.500093,0.419245,,
0.512666,0.410475,,
0.509405,0.453449,,
0.508099,0.409449,,
0.495459,0.39921,,
0.453084,0.402467,,
0.473858,0.392148,,
0.468062,0.397393,,
0.479877,0.422796,,
0.483324,0.418188,,
0.48557,0.399795,,
0.518156,0.406308,,
0.476302,0.408611,,
0.478773,0.394424,,
0.478689,0.394748,,
0.484465,0.400947,,
0.477211,0.397203,,
0.47276,0.407665,,
0.512938,0.4023,,
0.496207,0.405764,,
0.468993,0.408983,,
0.472384,0.391214,,
0.522276,0.41414,,
0.503048,0.427435,,
0.503852,0.410637,,
0.47443,0.389145,,
0.502212,0.382876,,
0.472569,0.395445,,
0.467229,0.402806,,
0.474294,0.415746,,
0.467966,0.404195,,
0.478491,0.401219,,
0.48814,0.402472,,
0.479683,0.400252,,
